,Classifier,ROC-AUC_test,Recall_test,Precision_test,F1-Score_test,ROC-AUC_train,Recall_train,Precision_train,F1-Score_train,ROC-AUC_test_real,Recall_test_real,Precision_test_real,F1-Score_test_real
0,Logistic Regression,0.9211427025847773,0.9681349578256795,0.7383845604002859,0.8377939983779399,0.93864865182253,0.5861990434980642,0.8652100840336134,0.698886777083899,0.9180787665422463,0.9672619047619048,0.4703328509406657,0.6329113924050632
1,Random Forest,0.9455649066020788,0.950328022492971,0.78,0.8567807351077312,1.0,1.0,1.0,1.0,0.9473838154620519,0.9464285714285714,0.5264900662251656,0.6765957446808512
2,XGBoost,0.9447493026600209,0.92970946579194,0.7961476725521669,0.8577604842196282,0.9999627380738332,1.0,0.9772980191408859,0.9885186852769022,0.9451030709195793,0.9404761904761905,0.5543859649122806,0.6975717439293598
